,MONTH,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Банк  ,Банк   ,"Кредити, що надані субєктам господарювання за видами економічної діяльності, що класифікуються за секціями (А,B-E,F)","Кредитні операції, що класифіковані за I категорією якості","Кредитні операції, що класифіковані за I категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за II категорією якості","Кредитні операції, що класифіковані за II категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за III категорією якості","Кредитні операції, що класифіковані за III категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за IV категорією якості","Кредитні операції, що класифіковані за IV категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за V категорією якості","Кредитні операції, що класифіковані за V категорією якості__величина кредитного ризику за такими операціями",МФО,Рентабельність активів (%),№ п/п,№п/п
45,01,,206,4,2017,,"АТ ""Місто Банк""",138507.98125,288894.51962,35.58558,210905.30823,1261.02648,640658.75235,49906.0349,702711.95187,229806.97061,33641.60585,33641.60585,328760,-15.6494,46,
46,01,,386,4,2017,,"ПАТ ""КБ ""ГЛОБУС""",197510.54336,368813.59573,3014.86183,608519.34099,14946.77635,73348.52615,15166.03827,52331.10392,15086.69369,108493.06744,106230.46969,380526,-5.5355,47,
47,01,,553,4,2017,,"ПАТ ""БАНК АВАНГАРД""",0,381219.66277,3049.58143,241857.98492,48395.72839,12007.26228,3096.0977,0,0,0,0,380946,5.0659,48,
48,01,,123,4,2017,,"ПАТ ""БАНК ""ГРАНТ""",447536.47434,582444.19787,374.40522,479901.15428,2033.77323,128510.75911,1007.96876,16006.28068,8676.5978,44881.47094,41552.49011,351607,2.84,49,
49,01,,48,4,2017,,"АКБ ""НОВИЙ""",112541.91607,126036.83468,424.6128,101282.57157,20.87752,239538.53372,29084.9163,51652.15419,34095.26737,17955.95564,17854.1918,305062,-0.0142,50,
50,01,,143,4,2017,,"ПАТ ""КОМІНВЕСТБАНК""",265847.16037,263181.27472,964.90572,406234.3604,3007.95574,144922.8547,5564.31791,13193.63638,8799.54877,72353.45011,72353.45013,312248,0.4808,51,
51,01,,381,4,2017,,"ПАТ ""МОТОР-БАНК""",95391.34426,194442.84766,119.22739,18499.38322,0,61.94773,24.77908,4.21818,3.37454,21758.46652,21758.46652,313009,2.7042,52,
52,01,,460,4,2017,,"ПАТ ""БАНК СІЧ""",338972.24101,222523.89285,25.9828,394129.67976,506.40971,120635.95805,16.49521,26182.19137,0,11512.52579,6293.52956,380816,0.0703,53,
53,01,,133,4,2017,,"ПАТ ""АСВІО БАНК""",308819.12332,655976.39603,790.4,365252.21393,3876.8693,97333.74296,3992.88334,63892.46395,61500.91661,7939.4205,7939.4205,353489,1.04,54,
54,01,,394,4,2017,,"ПАТ ""БАНК 3/4""",29116.0721,163424.68326,94.55962,350743.9379,8231.661,0,0,0,0,69.16649,69.16649,380645,6.9391,55,
55,01,,395,4,2017,,"ПАТ ""ЄВРОПРОМБАНК""",214872.44827,91769.03474,1.99233,1420.92619,0.04294,418212.60369,76158.60889,616902.50647,209384.81191,2569.12225,2569.12225,377090,-7.8527,56,
56,01,,694,4,2017,,"ПАТ ""КРИСТАЛБАНК""",78562.82453,149308.00519,1346.40917,62636.29994,1387.63532,34290.39702,6212.02411,1529.08337,721.92273,19276.27479,14523.13856,339050,7.4818,57,
57,01,,286,4,2017,,"ПАТ ""АБ ""РАДАБАНК""",234527.43989,346362.87305,1140.1559,269242.38404,21689.99218,17319.49034,5449.46812,7160.02161,4798.2592,32922.28074,32922.28074,306500,1.7937,58,
58,01,,231,4,2017,,"ПАТ ""ЮНЕКС БАНК"" м. Київ",395134.87328,34637.85746,618.73723,295501.72637,508.19858,136911.17881,7048.56808,55899.84917,41.94437,213158.68436,210333.05095,322539,-1.64,59,
59,01,,328,4,2017,,"АТ ""БАНК БОГУСЛАВ""",57745.96534,162800.40008,281.19549,341597.2744,2668.99843,4177.79045,17.24811,0,0,38555.79768,28296.00229,380322,-0.3964,60,
60,01,,122,4,2017,,"ПАТ ""ФІНБАНК""",127220.76178,0,0,172406.95317,12068.48685,593002.52964,124530.53278,0,0,143139.69215,143139.69215,328685,-12.0395,61,
61,01,,205,4,2017,,"АТ ""МетаБанк""",77516.76459,172056.3093,763.02806,127091.85402,160.60087,3834.62005,16.9917,7975.11178,1099.49213,31327.20835,22869.3089,313582,3.37,62,
62,01,,146,4,2017,,"ПАТ""БАНК ""УКРАЇН.КАПІТАЛ""",122831.58095,281769.47804,1311.59211,182097.10244,1886.61769,29243.9887,790.27669,58.75404,1.0219,47092.67824,33550.58559,320371,0.3616,63,
63,01,,377,4,2017,,"АТ ""УКРБУДІНВЕСТБАНК""",39672.37684,81633.53391,192.32286,197597.28476,3352.90376,15551.85578,0,9106.25762,0,70055.67635,21008.08528,380377,0.1343,64,
64,01,,95,4,2017,,"ПАТ ""ОКСІ БАНК""",189137.43145,196842.23003,144.58453,238505.34187,2562.16432,37191.44515,111.19942,16405.07474,153.41242,27669.68086,15045.3962,325990,0.1071,65,
65,01,,241,4,2017,,"ПАТ ""АЙБОКС БАНК""",136826.78993,709812.70543,626.82487,221012.78629,79.0651,17257.16289,12.83377,310.07862,162.31995,14821.01462,11624.96478,322302,0.0284,66,
66,01,,463,4,2017,,"ПАТ ""ДІВІ БАНК""",62476.74676,164836.38543,4873.83044,40317.82951,4080.92474,0,0,0,0,236.75815,236.75815,380827,0.276,67,
67,01,,49,4,2017,,Полікомбанк,1904.84834,103107.49848,10.61748,189859.76187,4549.94319,100750.49363,4914.14747,0,0,36518.69029,20491.03892,353100,0.0526,68,
68,01,,392,4,2017,,"ПуАТ ""КБ ""АКОРДБАНК""",99740.10406,68715.59421,642.95992,14907.34411,786.07036,188245.18685,13926.04252,112124.10301,17344.2173,14484.84464,13715.84464,380634,-8.88,69,
69,01,,294,4,2017,,"ПАТ ""ПФБ"" м.Кременчук",74126.47682,237948.3785,2521.23618,64834.46759,3806.71354,268.86966,53.41046,0,0,15016.9457,14693.26925,331768,6.5333,70,
70,01,,326,4,2017,,"ПАТ ""АКБ ""КОНКОРД""",51433.28445,239168.66296,10528.02231,74633.54211,8595.10925,56123.56914,1880.41778,138.94285,111.25046,10942.21852,10935.5527,307350,0.5269,71,
71,01,,311,4,2017,,"ПАТ ""АКБ ""Траст-капітал""",11825.05398,109710.02928,18.75324,148254.6554,3649.38341,35585.72277,4427.42757,4531.80487,1062.42459,49314.86351,49314.86351,380106,-0.0814,72,
72,01,,402,4,2017,,"ПАТ ""ВЕРНУМ БАНК""",56924.32446,181012.70034,261.54596,154726.10995,972.65451,1605.15056,0,11.47576,9.17556,3363.4685,2585.72999,380689,3.4021,73,
73,01,,774,4,2017,,"ПАТ ""РВС БАНК""",5388.91086,48277.04992,131.96114,15807.50466,1614.7183,20.6358,3.65988,0,0,5661.40107,5661.40107,339072,-16.58,74,
74,01,,29,4,2017,,"ПАТ ""БАНК АЛЬЯНС""",32674.70004,167422.53479,2932.53401,180277.93919,194.19575,0,0,0,0,3106.11042,3106.11042,300119,23.7645,75,
75,01,,72,4,2017,,"ПАТ ""БАНК ФАМІЛЬНИЙ""",0,906.86438,1.12885,25694.50708,26.73768,0,0,0,0,77939.23392,77924.23393,334840,0,76,
76,01,,406,4,2017,,"ПАТ ""АПЕКС-БАНК""",121327.39564,5498.94977,0.97329,83651.36545,7715.68968,0,0,124852.81965,119753.81806,143203.63622,123665.36893,380720,-52.0501,77,
77,01,,674,4,2017,,"ПАТ ""ВЕКТОР БАНК""",42090.18039,58205.11862,394.66736,112253.86074,56.28179,36297.95187,6239.15831,0,0,0,0,339038,-1.1463,78,
78,01,,243,4,2017,,"ПАТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""",39819.01807,108450.09335,1.06471,62825.01125,0,6439.75608,1594.22839,161.24633,0,6793.38007,408.12411,305880,0.7956,79,
79,01,,43,4,2017,,"АТ ""АЛЬТБАНК""",0,13220.38091,0,210.77206,37.82103,0,0,0,0,0,0,320940,0.5965,80,
80,01,,510,4,2017,,"ПАТ ""КБ""ФІНАНСОВИЙ ПАРТНЕР""",19601.64705,67152.52151,1817.14043,22714.7676,1249.22564,0,0,0,0,14941.92625,12646.62504,380872,1.105,81,
81,01,,634,4,2017,,"ПАТ ""БАНК ""ПОРТАЛ""",83846.06034,121594.86673,1373.88161,45219.61286,3971.12572,0,0,0,0,3217.2566,3217.2566,339016,-3.6044,82,
82,01,,334,4,2017,,"ПАТ ""КРЕДИТ ОПТИМА БАНК""",17702.34167,2655.58399,0,21020.74419,2159.66831,50250.68699,855.48382,0,0,12020.13034,12020.13034,380571,0.1546,83,
83,01,,512,4,2017,,"ПАТ ""АЛЬПАРІ БАНК""",0,3928.99595,25.35009,5876.40366,0,0,0,0,0,0,0,380894,2.3061,84,
84,01,,654,4,2017,,"ПАТ ""КБ ""ГЕФЕСТ""",0,52200,1326,30086.69169,1920,0,0,0,0,44500,44500,377120,-32.53,85,
85,01,,430,4,2017,,"ПАТ КБ ""Центр""",53300.47428,123308.94611,-57.99358,138134.7224,3379.19683,16635.07119,396.9944,3102.93585,0,15404.38029,13396.01552,380742,0.4392,86,
86,01,,387,4,2017,,"ПАТ ""АП БАНК""",76474.71709,59752.61451,279.51917,63897.10286,7614.53235,2842.30328,1021.52605,0,0,0,0,380548,-1.7101,87,
